ID_SAEB;ID_SERIE;TP_DISCIPLINA;NU_BLOCO;NU_POSICAO;ID_ITEM;NU_DESCRITOR_HABILIDADE;TX_GABARITO;TP_ITEM;TP_ITEM_MODELO;A;B;C;B1;B2;B3
2023;2;MT;1;4;133368;2M2.3;B;Resposta Objetiva;M3PL;1.861011326;0.22186137;0.252808366;;;
2023;2;MT;1;5;142048;2N2.1;A;Resposta Objetiva;M3PL;1.675296572;0.156007544;0.222128464;;;
2023;2;MT;1;6;117162;2A1.4;C;Resposta Objetiva;M3PL;1.826469237;0.023391152;0.261729898;;;
2023;2;MT;1;7;142030;2N1.8;D;Resposta Objetiva;M3PL;2.020476649;0.263327743;0.200485007;;;
2023;2;MT;1;8;133192;2N1.2;B;Resposta Objetiva;M3PL;0.925857142;-0.519225103;0.196881176;;;
2023;2;MT;1;9;117222;2N1.4;B;Resposta Objetiva;M3PL;1.260175762;-1.3178911;0.085601284;;;
2023;2;MT;2;1;134922;2E2.1;A/B;Resposta Construída;MRG;1.653445233;;;-0.844110889;-0.136902246;
2023;2;MT;2;1;142099;2G1.2;A;Resposta Objetiva;M3PL;1.340894437;-0.396358824;0.229029192;;;
2023;2;MT;2;2;142007;2N1.3;A;Resposta Objetiva;M3PL;1.435611971;-0.828667955;0.234579791;;;
2023;2;MT;2;3;117152;2G1.3;D;Resposta Objetiva;M3PL;1.036719474;-1.023748595;0.122790467;;;
2023;2;MT;2;4;142074;2M1.6;C;Resposta Objetiva;M3PL;1.780598086;-0.55189251;0.149156055;;;
2023;2;MT;2;5;142066;2E1.3;D;Resposta Objetiva;M3PL;1.381744152;0.084479901;0.172652044;;;
2023;2;MT;2;6;119577;2M1.3;C;Resposta Objetiva;M3PL;1.509760376;-2.622695908;0.117266107;;;
2023;2;MT;2;7;133606;2N2.2;D;Resposta Objetiva;M3PL;1.673874928;0.196636549;0.187601024;;;
2023;2;MT;2;8;132245;2N1.6;A;Resposta Objetiva;M3PL;2.227274445;1.012595772;0.261016697;;;
2023;2;MT;2;9;115398;2A1.1;C;Resposta Objetiva;M3PL;1.437254953;0.032433837;0.211415943;;;
2023;2;MT;3;1;133609;2N2.3;D;Resposta Objetiva;M3PL;1.804371625;0.939564564;0.16469078;;;
2023;2;MT;3;1;143182;2N2.1;A/B;Resposta Construída;MRG;1.73134226;;;-0.348325199;0.378367709;
2023;2;MT;3;2;142039;2N1.8;D;Resposta Objetiva;M3PL;1.498354369;-0.380401921;0.209202722;;;
2023;2;MT;3;3;119465;2G1.1;D;Resposta Objetiva;M3PL;0.904200231;-0.673384522;0.35287506;;;
2023;2;MT;3;4;131328;2E1.1;B;Resposta Objetiva;M3PL;1.14365058;1.011425003;0.182986243;;;
2023;2;MT;3;5;142047;2M2.1;D;Resposta Objetiva;M3PL;1.297037652;0.007534008;0.202910147;;;
2023;2;MT;3;6;114074;2A1.2;D;Resposta Objetiva;M3PL;1.14681201;0.221587417;0.088833429;;;
2023;2;MT;3;7;142069;2E1.3;C;Resposta Objetiva;M3PL;1.247015904;-1.963850561;0.171390163;;;
2023;2;MT;3;8;143213;2N1.6;A;Resposta Objetiva;M3PL;1.895744196;0.369457033;0.296224706;;;
2023;2;MT;3;9;115396;2M1.4;C;Resposta Objetiva;M3PL;1.145057266;-0.675842477;0.214678856;;;
2023;2;MT;4;1;135051;2N1.3;A/B;Resposta Construída;MRG;1.533038224;;;-1.031019975;-0.537800962;
2023;2;MT;4;1;142086;2N1.7;B;Resposta Objetiva;M3PL;2.042735779;1.889954369;0.191764114;;;
