ID_SAEB;ID_REGIAO;ID_UF;ID_MUNICIPIO;ID_AREA;ID_ESCOLA;IN_PUBLICA;ID_LOCALIZACAO;ID_TURMA;ID_SERIE;ID_ALUNO;IN_SITUACAO_CENSO;IN_PREENCHIMENTO_LP;IN_PREENCHIMENTO_MT;IN_PREENCHIMENTO_CH;IN_PREENCHIMENTO_CN;IN_PRESENCA_LP;IN_PRESENCA_MT;IN_PRESENCA_CH;IN_PRESENCA_CN;ID_CADERNO_LP;ID_BLOCO_1_LP;ID_BLOCO_2_LP;ID_CADERNO_MT;ID_BLOCO_1_MT;ID_BLOCO_2_MT;ID_CADERNO_CH;ID_BLOCO_1_CH;ID_BLOCO_2_CH;NU_BLOCO_1_ABERTA_CH;NU_BLOCO_2_ABERTA_CH;ID_CADERNO_CN;ID_BLOCO_1_CN;ID_BLOCO_2_CN;ID_BLOCO_3_CN;NU_BLOCO_1_ABERTA_CN;NU_BLOCO_2_ABERTA_CN;TX_RESP_BLOCO1_LP;TX_RESP_BLOCO2_LP;TX_RESP_BLOCO1_MT;TX_RESP_BLOCO2_MT;TX_RESP_BLOCO1_CH;TX_RESP_BLOCO2_CH;CO_CONCEITO_Q1_CH;CO_CONCEITO_Q2_CH;TX_RESP_BLOCO1_CN;TX_RESP_BLOCO2_CN;TX_RESP_BLOCO3_CN;CO_CONCEITO_Q1_CN;CO_CONCEITO_Q2_CN;IN_PROFICIENCIA_LP;IN_PROFICIENCIA_MT;IN_PROFICIENCIA_CH;IN_PROFICIENCIA_CN;IN_AMOSTRA;ESTRATO;ESTRATO_CIENCIAS;PESO_ALUNO_LP;PROFICIENCIA_LP;ERRO_PADRAO_LP;PROFICIENCIA_LP_SAEB;ERRO_PADRAO_LP_SAEB;PESO_ALUNO_MT;PROFICIENCIA_MT;ERRO_PADRAO_MT;PROFICIENCIA_MT_SAEB;ERRO_PADRAO_MT_SAEB;PESO_ALUNO_CH;PROFICIENCIA_CH;ERRO_PADRAO_CH;PROFICIENCIA_CH_SAEB;ERRO_PADRAO_CH_SAEB;PESO_ALUNO_CN;PROFICIENCIA_CN;ERRO_PADRAO_CN;PROFICIENCIA_CN_SAEB;ERRO_PADRAO_CN_SAEB;IN_PREENCHIMENTO_QUESTIONARIO;IN_INSE;INSE_ALUNO;NU_TIPO_NIVEL_INSE;PESO_ALUNO_INSE;TX_RESP_Q01;TX_RESP_Q02;TX_RESP_Q03;TX_RESP_Q04;TX_RESP_Q05a;TX_RESP_Q05b;TX_RESP_Q05c;TX_RESP_Q06;TX_RESP_Q07a;TX_RESP_Q07b;TX_RESP_Q07c;TX_RESP_Q07d;TX_RESP_Q07e;TX_RESP_Q08;TX_RESP_Q09;TX_RESP_Q10a;TX_RESP_Q10b;TX_RESP_Q10c;TX_RESP_Q10d;TX_RESP_Q10e;TX_RESP_Q10f;TX_RESP_Q11a;TX_RESP_Q11b;TX_RESP_Q11c;TX_RESP_Q12a;TX_RESP_Q12b;TX_RESP_Q12c;TX_RESP_Q12d;TX_RESP_Q12e;TX_RESP_Q12f;TX_RESP_Q12g;TX_RESP_Q13a;TX_RESP_Q13b;TX_RESP_Q13c;TX_RESP_Q13d;TX_RESP_Q13e;TX_RESP_Q13f;TX_RESP_Q13g;TX_RESP_Q13h;TX_RESP_Q13i;TX_RESP_Q14;TX_RESP_Q15a;TX_RESP_Q15b;TX_RESP_Q16;TX_RESP_Q17;TX_RESP_Q18;TX_RESP_Q19;TX_RESP_Q20;TX_RESP_Q21a;TX_RESP_Q21b;TX_RESP_Q21c;TX_RESP_Q21d;TX_RESP_Q21e;TX_RESP_Q22a;TX_RESP_Q22b;TX_RESP_Q22c;TX_RESP_Q22d;TX_RESP_Q22e;TX_RESP_Q22f;TX_RESP_Q22g;TX_RESP_Q22h;TX_RESP_Q23a;TX_RESP_Q23b;TX_RESP_Q23c;TX_RESP_Q23d;TX_RESP_Q23e;TX_RESP_Q23f;TX_RESP_Q23g;TX_RESP_Q23h;TX_RESP_Q23i
2023;1;11;6322171;2;61412270;1;1;1538696;5;49392127;1;0;0;;;0;0;;;3;3;4;3;3;4;;;;;;;;;;;;...........;...........;...........;...........;;;;;;;;;;0;0;;;0;632217131;;;;;;;;;;;;;;;;;;;;;;0;0;;1;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2023;1;11;6322171;2;61412270;1;1;1538696;5;49392128;1;0;0;;;0;0;;;15;1;4;15;1;4;;;;;;;;;;;;...........;...........;...........;...........;;;;;;;;;;0;0;;;0;632217131;;;;;;;;;;;;;;;;;;;;;;0;0;;1;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2023;1;11;6322171;2;61412270;1;1;1538696;5;49392129;1;1;1;;;1;1;;;1;1;2;1;1;2;;;;;;;;;;;;AADDBCAADCA;AABBDBCBABC;DCBADACBDAB;DCCCDCCABBD;;;;;;;;;;1;1;;;0;632217131;;1,14815E+15;-1389102;359005;17345469;19778793;1,14815E+15;-1357954;480155;174065171;26836981;;;;;;;;;;;1;1;52;5;11923076923;A;A;B;A;A;A;A;B;B;B;A;A;.;F;F;A;A;A;A;A;A;B;A;B;B;A;D;B;C;B;D;B;B;B;A;B;A;B;B;B;A;A;B;A;B;A;A;A;B;A;B;A;D;D;D;D;D;D;D;D;D;B;B;B;B;B;B;B;B;B
2023;1;11;6322171;2;61412270;1;1;1538696;5;49392130;1;1;1;;;1;1;;;1;1;2;1;1;2;;;;;;;;;;;;DBBCBCABACC;DABBABCAAAC;DDACCBCBBDA;BAABCABBABB;;;;;;;;;;1;1;;;0;632217131;;1,14815E+15;-549351;313289;219719396;17260145;1,14815E+15;-1426984;420461;170206923;23500544;;;;;;;;;;;1;1;365;2;11923076923;B;B;A;C;A;A;A;A;B;.;.;.;.;F;F;A;B;C;C;B;C;B;B;A;B;A;C;B;C;A;A;A;A;A;B;A;A;B;B;A;A;A;A;H;D;A;A;A;B;A;A;A;D;C;B;C;C;B;C;C;C;B;C;A;B;C;C;A;A;A
2023;1;11;6322171;2;61412270;1;1;1538696;5;49392131;1;1;1;;;1;1;;;19;5;1;19;5;1;;;;;;;;;;;;CAAADCBABAB;DDBCDDADCBA;CACCBBABDCD;DDBADCABCDB;;;;;;;;;;1;1;;;0;632217131;;1,14815E+15;-862748;343667;202453301;18933771;1,14815E+15;-928523;421517;198067069;23559566;;;;;;;;;;;1;1;431;3;11923076923;A;C;A;F;A;A;A;C;B;B;A;A;B;F;F;C;C;B;C;B;B;B;A;B;B;A;D;B;B;A;D;B;A;B;B;.;A;B;A;B;A;A;A;B;D;A;B;A;C;A;B;D;D;A;B;B;A;B;A;A;A;B;B;A;A;D;D;B;A;A
2023;1;11;6322171;2;61412270;1;1;1538696;5;49392132;1;1;1;;;1;1;;;21;7;3;21;7;3;;;;;;;;;;;;...DC.C..B.;C.CD.CC....;D.B.CCCD...;C..C.CD....;;;;;;;;;;1;1;;;0;632217131;;1,14815E+15;-1952244;436153;142429303;24029135;1,14815E+15;-2349789;559852;118629204;31291432;;;;;;;;;;;1;0;;1;;A;*;*;*;*;*;A;.;.;.;A;A;A;*;*;.;*;*;A;*;*;.;.;.;.;.;*;.;.;.;.;.;B;B;A;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;*;*;*;*;B;B;B;.;D;D;*;C;D;D;D;D;D
2023;1;11;6322171;2;61412270;1;1;1538696;5;49392133;1;1;1;;;1;1;;;18;4;7;18;4;7;;;;;;;;;;;;DCCBDBAADBA;DACADADABAD;ADACBDCBDDB;ADDDCDADCAB;;;;;;;;;;1;1;;;0;632217131;;1,14815E+15;-925033;3127;199021811;17227695;1,14815E+15;-804032;395543;205025161;22107819;;;;;;;;;;;1;1;421;3;11923076923;A;B;A;B;A;A;A;B;A;B;A;A;A;F;F;*;B;C;C;C;B;B;B;B;B;A;C;B;C;A;D;A;B;A;B;A;A;B;B;A;A;A;B;E;A;C;A;B;B;C;B;A;B;A;C;B;A;C;A;B;B;A;B;B;C;B;A;A;C;B
2023;1;11;6322171;2;61412270;1;1;1538696;5;49392134;1;1;1;;;1;1;;;3;3;4;3;3;4;;;;;;;;;;;;CABDBABDBAB;CAABAAACDBC;BABBABAABBB;BCACBBBBCBA;;;;;;;;;;1;1;;;0;632217131;;1,14815E+15;-941428;328127;198118556;1807762;1,14815E+15;-469144;368804;223742831;20613314;;;;;;;;;;;1;1;504;5;11923076923;A;B;A;A;A;A;A;C;B;B;A;A;A;D;E;B;C;C;C;C;C;B;B;A;B;A;C;C;B;B;D;B;B;B;B;B;A;B;B;A;A;A;A;B;A;*;A;A;B;A;C;A;D;A;A;D;A;.;A;A;B;A;A;C;.;A;C;A;A;B
2023;1;11;6322171;2;61412270;1;1;1538696;5;49392135;1;1;1;;;1;1;;;4;4;5;4;4;5;;;;;;;;;;;;CACBABAAAAA;AADACCADBAD;BCDBBDDBCBA;AACDCABDBD.;;;;;;;;;;1;1;;;0;632217131;;1,14815E+15;-1426011;35646;171421249;1963858;1,14815E+15;-1337249;516061;175222421;28843851;;;;;;;;;;;1;1;513;5;11923076923;B;B;A;A;A;A;A;E;A;A;B;B;.;F;F;A;B;C;C;C;C;A;B;B;B;A;B;C;C;B;D;B;B;B;B;B;A;B;A;B;.;A;A;F;A;A;A;A;B;A;B;B;B;C;A;B;B;D;D;B;B;A;A;A;A;B;B;*;*;B
2023;1;11;6322171;2;61412270;1;1;1538696;5;49392136;1;1;1;;;1;1;;;21;7;3;21;7;3;;;;;;;;;;;;BAA*DAADBCA;CABDCBBCBAB;CDDADACCCDB;AABCC*ADDBB;;;;;;;;;;1;1;;;0;632217131;;1,14815E+15;-921894;298606;199194749;16451209;1,14815E+15;-738565;382676;208684264;21388652;;;;;;;;;;;1;1;583;6;11923076923;B;B;A;B;A;A;A;E;B;B;B;.;.;E;E;B;A;C;C;C;C;B;B;B;B;B;D;D;B;B;D;B;B;A;B;B;A;B;B;B;A;B;A;F;B;A;A;B;B;B;C;A;D;A;A;A;C;B;D;C;C;B;A;A;A;D;B;A;A;A
