ID_SAEB;ID_REGIAO;ID_UF;ID_MUNICIPIO;ID_AREA;ID_ESCOLA;IN_PUBLICA;ID_LOCALIZACAO;ID_TURMA;ID_SERIE;ID_ALUNO;IN_SITUACAO_CENSO;IN_PREENCHIMENTO_LP;IN_PREENCHIMENTO_MT;IN_PREENCHIMENTO_CH;IN_PREENCHIMENTO_CN;IN_PRESENCA_LP;IN_PRESENCA_MT;IN_PRESENCA_CH;IN_PRESENCA_CN;ID_CADERNO_LP;ID_BLOCO_1_LP;ID_BLOCO_2_LP;ID_CADERNO_MT;ID_BLOCO_1_MT;ID_BLOCO_2_MT;ID_CADERNO_CH;ID_BLOCO_1_CH;ID_BLOCO_2_CH;NU_BLOCO_1_ABERTA_CH;NU_BLOCO_2_ABERTA_CH;ID_CADERNO_CN;ID_BLOCO_1_CN;ID_BLOCO_2_CN;ID_BLOCO_3_CN;NU_BLOCO_1_ABERTA_CN;NU_BLOCO_2_ABERTA_CN;TX_RESP_BLOCO1_LP;TX_RESP_BLOCO2_LP;TX_RESP_BLOCO1_MT;TX_RESP_BLOCO2_MT;TX_RESP_BLOCO1_CH;TX_RESP_BLOCO2_CH;CO_CONCEITO_Q1_CH;CO_CONCEITO_Q2_CH;TX_RESP_BLOCO1_CN;TX_RESP_BLOCO2_CN;TX_RESP_BLOCO3_CN;CO_CONCEITO_Q1_CN;CO_CONCEITO_Q2_CN;IN_PROFICIENCIA_LP;IN_PROFICIENCIA_MT;IN_PROFICIENCIA_CH;IN_PROFICIENCIA_CN;IN_AMOSTRA;ESTRATO;ESTRATO_CIENCIAS;PESO_ALUNO_LP;PROFICIENCIA_LP;ERRO_PADRAO_LP;PROFICIENCIA_LP_SAEB;ERRO_PADRAO_LP_SAEB;PESO_ALUNO_MT;PROFICIENCIA_MT;ERRO_PADRAO_MT;PROFICIENCIA_MT_SAEB;ERRO_PADRAO_MT_SAEB;PESO_ALUNO_CH;PROFICIENCIA_CH;ERRO_PADRAO_CH;PROFICIENCIA_CH_SAEB;ERRO_PADRAO_CH_SAEB;PESO_ALUNO_CN;PROFICIENCIA_CN;ERRO_PADRAO_CN;PROFICIENCIA_CN_SAEB;ERRO_PADRAO_CN_SAEB;IN_PREENCHIMENTO_QUESTIONARIO;IN_INSE;INSE_ALUNO;NU_TIPO_NIVEL_INSE;PESO_ALUNO_INSE;TX_RESP_Q01;TX_RESP_Q02;TX_RESP_Q03;TX_RESP_Q04;TX_RESP_Q05a;TX_RESP_Q05b;TX_RESP_Q05c;TX_RESP_Q06;TX_RESP_Q07a;TX_RESP_Q07b;TX_RESP_Q07c;TX_RESP_Q07d;TX_RESP_Q07e;TX_RESP_Q08;TX_RESP_Q09;TX_RESP_Q10a;TX_RESP_Q10b;TX_RESP_Q10c;TX_RESP_Q10d;TX_RESP_Q10e;TX_RESP_Q10f;TX_RESP_Q11a;TX_RESP_Q11b;TX_RESP_Q11c;TX_RESP_Q12a;TX_RESP_Q12b;TX_RESP_Q12c;TX_RESP_Q12d;TX_RESP_Q12e;TX_RESP_Q12f;TX_RESP_Q12g;TX_RESP_Q13a;TX_RESP_Q13b;TX_RESP_Q13c;TX_RESP_Q13d;TX_RESP_Q13e;TX_RESP_Q13f;TX_RESP_Q13g;TX_RESP_Q13h;TX_RESP_Q13i;TX_RESP_Q14;TX_RESP_Q15a;TX_RESP_Q15b;TX_RESP_Q16;TX_RESP_Q17;TX_RESP_Q18;TX_RESP_Q19;TX_RESP_Q20;TX_RESP_Q21a;TX_RESP_Q21b;TX_RESP_Q21c;TX_RESP_Q21d;TX_RESP_Q21e;TX_RESP_Q22a;TX_RESP_Q22b;TX_RESP_Q22c;TX_RESP_Q22d;TX_RESP_Q22e;TX_RESP_Q22f;TX_RESP_Q22g;TX_RESP_Q22h;TX_RESP_Q23a;TX_RESP_Q23b;TX_RESP_Q23c;TX_RESP_Q23d;TX_RESP_Q23e;TX_RESP_Q23f;TX_RESP_Q23g;TX_RESP_Q23h;TX_RESP_Q23i;TX_RESP_Q24
2023;1;11;6322171;2;61437332;1;1;1483212;9;49391462;1;0;0;;;0;0;;;14;7;2;14;7;2;;;;;;;;;;;;.............;.............;.............;.............;;;;;;;;;;0;0;;;0;632217121;;;;;;;;;;;;;;;;;;;;;;0;0;;1;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2023;1;11;6322171;2;61437332;1;1;1483212;9;49391830;1;1;1;;;1;1;;;12;5;7;12;5;7;;;;;;;;;;;;ABCBCCADABDAA;BB*DBCDAAACDB;BCBBCCCDDAACA;CDABBDBDBABAA;;;;;;;;;;1;1;;;0;632217121;;1,03846E+15;256439;35061;264113077;19316284;1,03846E+15;1054688;295608;308913349;16522219;;;;;;;;;;;1;1;485;4;10384615385;A;C;A;C;B;A;A;E;B;B;A;A;B;B;F;B;C;C;C;C;B;B;B;B;C;A;C;A;B;B;D;A;B;A;B;A;B;B;B;B;B;A;A;B;A;A;B;B;D;D;D;D;C;B;C;C;C;C;B;B;A;A;A;B;C;D;B;C;A;A;C
2023;1;11;6322171;2;61437332;1;1;1483212;9;49391831;1;1;1;;;1;1;;;10;3;5;10;3;5;;;;;;;;;;;;CCBBABCCBCABC;BBBBCBADABDDA;BAACCDBCBCDAC;CBCBDDDBDCDCB;;;;;;;;;;1;1;;;0;632217121;;1,03846E+15;-518341;381305;221427841;21007375;1,03846E+15;-810796;542333;204647105;30312254;;;;;;;;;;;1;1;496;4;10384615385;A;F;A;C;A;A;A;C;B;.;.;.;.;D;C;B;C;B;C;C;B;B;B;A;C;B;C;B;B;A;D;B;B;A;A;B;B;B;B;A;C;A;A;B;D;A;B;B;B;A;C;D;A;A;B;B;B;B;A;A;A;A;B;B;B;B;A;B;B;B;C
2023;1;11;6322171;2;61437332;1;1;1483212;9;49391832;1;1;1;;;1;1;;;21;7;3;21;7;3;;;;;;;;;;;;BAADCCDAABCAB;DDABACCDDCDBC;ADBCABBDBAABA;ABCBCDDCCAAAC;;;;;;;;;;1;1;;;0;632217121;;1,03846E+15;271463;338454;2649408;18646569;1,03846E+15;613603;331643;284260081;18536299;;;;;;;;;;;1;1;459;4;10384615385;B;C;A;C;A;A;A;D;B;B;A;B;B;.;.;B;B;C;C;C;B;B;B;B;C;A;C;B;C;B;D;A;A;A;.;.;.;B;A;B;B;A;A;B;B;A;B;B;B;D;C;D;C;B;A;B;C;C;B;A;C;B;B;B;C;B;C;B;A;B;C
2023;1;11;6322171;2;61437332;1;1;1483212;9;49392099;1;1;1;;;1;1;;;19;5;1;19;5;1;;;;;;;;;;;;CACDDBCACDBCC;DBAACDBBADCDB;DBADCBBDCABCA;BABCADDABCCDA;;;;;;;;;;1;1;;;0;632217121;;1,03846E+15;-676941;41904;212690034;23086323;1,03846E+15;-294294;52686;233515604;29447432;;;;;;;;;;;1;1;582;6;10384615385;B;B;A;C;A;A;A;D;B;B;B;A;B;D;B;C;B;C;C;C;B;B;B;B;B;B;D;B;C;C;D;B;B;B;A;B;B;B;B;B;A;A;A;F;B;A;B;A;B;A;D;B;C;C;B;C;C;B;A;B;B;B;C;B;A;B;C;C;B;A;C
2023;1;11;6322171;2;61437332;1;1;1483212;9;49392100;1;1;1;;;1;1;;;6;6;7;6;6;7;;;;;;;;;;;;ACDDCBDDABDCC;BBBBDCDCACAAD;DDCBDBBDABADC;CDADCCBCBADCA;;;;;;;;;;1;1;;;0;632217121;;1,03846E+15;-659;351307;249948683;19354684;1,03846E+15;-164093;459754;240792841;25696721;;;;;;;;;;;1;1;403;3;10384615385;A;C;A;B;A;A;A;E;B;B;.;.;B;C;C;A;B;C;B;C;A;B;B;B;B;A;C;B;B;A;D;A;B;A;B;A;A;B;B;A;A;A;A;B;A;A;A;A;C;A;B;A;D;C;D;C;C;C;C;B;B;B;B;C;C;B;C;A;A;A;C
2023;1;11;6322171;2;61437332;1;1;1483212;9;49392167;1;1;1;;;1;1;;;17;3;6;17;3;6;;;;;;;;;;;;CADBABCBDCABC;DCBCDABBABBDA;AADBCCCCCCAAD;ABADDAADBBABC;;;;;;;;;;1;1;;;0;632217121;;1,03846E+15;164747;323256;259061456;1780926;1,03846E+15;-600283;471966;216413167;26379278;;;;;;;;;;;1;1;489;4;10384615385;C;B;A;F;A;A;A;C;B;B;.;.;B;E;C;.;B;C;C;C;A;B;B;B;B;B;*;B;B;.;D;B;B;B;B;.;A;B;B;A;A;A;A;B;A;A;A;A;B;A;B;A;D;B;D;B;D;D;C;C;D;B;B;D;D;D;B;B;C;B;C
2023;1;11;6322171;2;61437332;1;1;1483212;9;49392168;1;1;1;;;1;1;;;7;7;1;7;7;1;;;;;;;;;;;;CBDBADDDACDDA;BADBDCCCBDADB;CDDCADCABBCBA;BBADDADBBCABC;;;;;;;;;;1;1;;;0;632217121;;1,03846E+15;-953423;494845;197457711;27262675;1,03846E+15;-665358;547393;212775973;30595069;;;;;;;;;;;1;1;443;3;10384615385;A;C;A;B;A;A;A;C;B;A;B;A;B;A;F;A;B;C;C;C;C;B;B;B;B;A;D;B;C;A;D;A;B;B;B;B;A;B;B;A;A;A;A;A;B;A;B;A;C;B;C;B;D;A;C;C;B;D;B;A;A;B;B;B;C;D;A;A;A;A;C
2023;1;11;6322171;2;61437332;1;1;1483212;9;49392169;1;1;1;;;1;1;;;1;1;2;1;1;2;;;;;;;;;;;;BABACBCAACDCA;BCDCACDDAAABA;BDACCBDABBCBA;ACABCAADAACBC;;;;;;;;;;1;1;;;0;632217121;;1,03846E+15;-1077507;477436;190621506;26303555;1,03846E+15;-388986;485654;228223048;27144333;;;;;;;;;;;1;1;455;4;10384615385;B;D;A;C;A;A;A;E;B;B;A;A;B;C;B;B;C;C;C;C;C;B;B;B;B;A;D;B;C;A;D;B;B;B;B;A;B;B;A;A;B;A;A;B;B;A;B;A;B;B;C;A;D;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;C
2023;1;11;6322171;2;61437332;1;1;1483212;9;49392170;1;1;1;;;1;1;;;10;3;5;10;3;5;;;;;;;;;;;;BCBBABADBDBAC;ACB.CCDDACDBD;AADCACBCADAAB;BADDABDABDBAC;;;;;;;;;;1;1;;;0;632217121;;1,03846E+15;-571852;349821;21847974;19272815;1,03846E+15;-1225073;537352;181492199;30033854;;;;;;;;;;;1;1;444;3;10384615385;B;C;A;A;A;A;A;D;B;B;A;A;B;B;F;A;B;C;B;C;A;B;B;B;B;A;D;B;B;A;D;B;B;B;A;A;A;B;B;B;A;A;A;B;A;A;B;A;B;B;D;A;D;A;A;A;C;A;C;A;C;*;B;B;B;C;B;B;B;B;D
